IDpol,ClaimAmount,cumulative_cost,cumulative_cost_share,claim_rank,cumulative_claim_share,Region,DriverAgeGroup,Vehicle Age Groups,Bonus-Malus Groups,VehGas,DrivAge,VehAge,BonusMalus,Exposure,ExtremeClaim
1120377,4075400.56,4075400.56,0.06802627038195369,1,3.7815761609438814e-05,Centre,18-25,11-15,100+,Regular,19,13,100,0.22,True
110846,1403057.4,5478457.96,0.09144599579265072,2,7.563152321887763e-05,Centre,18-25,11-15,100+,Regular,20,13,100,0.43,True
2141337,1301172.6,6779630.5600000005,0.11316506801587035,3,0.00011344728482831644,Rhone-Alpes,18-25,11-15,100+,Regular,18,14,100,0.32,True
3122016,774411.5,7554042.0600000005,0.12609148477179638,4,0.00015126304643775526,Rhone-Alpes,36-45,6-10,51-64,Diesel,40,7,63,0.91,True
2008127,390742.27,7944784.33,0.13261372446758676,5,0.00018907880804719407,Rhone-Alpes,56-65,0-2,50,Regular,57,2,50,0.36,True
3025890,369131.88,8313916.21,0.13877524520788886,6,0.00022689456965663287,Champagne-Ardenne,36-45,0-2,50,Diesel,36,1,50,0.09,True
1117644,307096.42,8621012.63,0.1439012748564322,7,0.0002647103312660717,Bretagne,18-25,0-2,85-99,Diesel,21,1,90,0.85,True
158309,301635.49,8922648.120000001,0.1489361510845331,8,0.0003025260928755105,Centre,46-55,3-5,50,Diesel,46,3,50,0.75,True
3075820,287423.0,9210071.120000001,0.15373379353075003,9,0.00034034185448494935,Provence-Alpes-Cotes-D'Azur,66+,16-20,50,Regular,78,18,50,0.58,True
3150210,281897.49,9491968.610000001,0.1584392045921683,10,0.00037815761609438813,Centre,56-65,3-5,51-64,Diesel,61,4,54,0.48,True
4169019,276643.0,9768611.610000001,0.16305690811362897,11,0.00041597337770382697,Rhone-Alpes,26-35,11-15,100+,Diesel,27,14,100,0.13,True
1096763,255013.03,10023624.64,0.16731356585175844,12,0.00045378913931326575,Centre,26-35,11-15,85-99,Regular,27,12,90,1.0,True
2206511,241171.16,10264795.8,0.171339176168328,13,0.0004916049009227046,Centre,26-35,3-5,51-64,Diesel,31,5,51,0.42,True
4159792,211204.0,10475999.8,0.1748645769720591,14,0.0005294206625321434,Centre,66+,6-10,50,Diesel,72,9,50,0.36,True
3103319,209695.87,10685695.67,0.1783648041866814,15,0.0005672364241415822,Centre,56-65,6-10,50,Diesel,61,10,50,1.0,True
3059946,208472.6,10894168.27,0.18184461267324373,16,0.000605052185751021,Lorraine,66+,16-20,50,Regular,73,17,50,0.15,True
1067220,205432.05,11099600.32,0.18527366853479052,17,0.0006428679473604598,Provence-Alpes-Cotes-D'Azur,66+,11-15,50,Regular,83,14,50,1.0,True
2070262,205132.0,11304732.32,0.18869771598498544,18,0.0006806837089698987,Centre,18-25,11-15,100+,Diesel,21,13,140,0.16,True
2202813,203172.0,11507904.32,0.19208904726704285,19,0.0007184994705793375,Picardie,26-35,6-10,65-84,Diesel,26,7,68,0.08,True
5033465,200885.0,11708789.32,0.195442204122299,20,0.0007563152321887763,Corse,26-35,0-2,65-84,Regular,33,2,80,0.53,True
3196736,186584.15,11895373.47,0.1985566522973974,21,0.0007941309937982151,Centre,26-35,11-15,65-84,Regular,33,13,72,0.53,True
53865,183073.66,12078447.13,0.2016125036454116,22,0.0008319467554076539,Ile-de-France,18-25,0-2,65-84,Regular,23,1,80,0.01,True
2096700,182878.18,12261325.31,0.20466509205641178,23,0.0008697625170170927,Rhone-Alpes,66+,0-2,51-64,Diesel,72,2,55,1.0,True
3172846,182500.0,12443825.31,0.20771136791615366,24,0.0009075782786265315,Centre,36-45,21+,65-84,Diesel,38,21,72,1.0,True
3083780,182050.0,12625875.31,0.21075013241076193,25,0.0009453940402359704,Rhone-Alpes,18-25,11-15,100+,Diesel,21,15,100,0.02,True
4138268,181204.0,12807079.31,0.21377477553891902,26,0.0009832098018454092,Bretagne,66+,6-10,50,Regular,70,6,50,1.0,True
105098,152333.22,12959412.530000001,0.21631750984424916,27,0.001021025563454848,Provence-Alpes-Cotes-D'Azur,26-35,11-15,51-64,Regular,35,12,64,0.74,True
1107370,152084.96,13111497.490000002,0.2188561002128947,28,0.0010588413250642867,Centre,26-35,11-15,85-99,Diesel,26,15,85,0.95,False
4073213,139477.15,13250974.640000002,0.22118424199388428,29,0.0010966570866737255,Provence-Alpes-Cotes-D'Azur,46-55,3-5,51-64,Diesel,54,3,52,0.28,False
154968,137169.81,13388144.450000003,0.22347386983436857,30,0.0011344728482831645,Centre,66+,6-10,50,Diesel,72,10,50,0.53,False
1043258,132628.12,13520772.570000002,0.22568768813726692,31,0.0011722886098926033,Centre,36-45,6-10,100+,Regular,39,8,106,1.0,False
2209888,128902.06,13649674.630000003,0.22783931133534363,32,0.001210104371502042,Bretagne,26-35,6-10,65-84,Diesel,35,7,71,0.45,False
5068147,125847.05,13775521.680000003,0.22993994054320518,33,0.0012479201331114808,Ile-de-France,18-25,6-10,100+,Regular,23,6,100,0.16,False
